	author	title	text
179	Rétif	Paysan	Venez donc, -- a-t-il ajouté. Je l'ai suivi dans un réduit qui n'était éclairé que par un oeil de boeuf, pratiqué dans le volet, auprès duquel était une table pour poser ce qui m'était nécessaire. En sortant il a laissé la porte ouverte à demi. Deux minutes après, j'ai vu la belle marquise dans son boudoir, presque nue, qui faisait mille petites façons pour entrer dans un bain froid qu'on lui avait préparé. Les crayons me sont tombés des mains, à la vue de || tant de beautés. Cependant la raison m'est revenue, et j'ai fait réflexion que je venais de perdre un temps que je ne rattraperais peut-être jamais. Je me trompais ; on m'a donné tout le loisir et toutes les facilités que je pouvais desirer : je voyais tour-à-tour paraitre des appas dignes des dieux. Il semblait qu'on attendît que j'eusse fini mon esquisse pour quitter cette pièce ; dès que j'ai eu donné le dernier coup de crayon, on est sortie. Je suis resté environ un quart-d'heure à retoucher quelque chose, pour donner aux contours le moëlleux que mon imagination me traçait parfaitement, mais que je n'avais pu rendre dans toute sa vérité, en dessinant à la hâte, de peur de perdre la beauté suivante, en voulant trop correctement exprimer celle qui frappait ma vue. On est venu me dire que la marquise m'attendait. Elle était à sa toilette, et j'ai admiré de nouveau mille trésors, dont je me suis rempli l'imagination. À mon retour chez moi, j'ai mis la main à l'ouvrage, et comme les beautés que j'avais à traiter, n'ont pas un caractère aussi particulier que l'air du visage, et les traits délicats de la physionomie, j'ai achevé de mémoire. Ce travail m'a tenu quelques jours.s 
187	Rétif	Paysan	"Elle [Fanchette] nous sert de modèle, lorsque nous avons besoin d'une belle figure de femme pour Elle [Fanchette] nous sert de modèle, lorsque nous avons besoin d'une belle figure de femme pour quelque portrait de prix ; et elle ira au salon, avec un tableau d'Alexandre recevant la mère et la femme de Darius ; Ursule est Statira. Ce qui me fait encore un vrai plaisir, c'est qu'elle est grandie depuis son accident : tu conçois de-là que le petit échec qu'ont reçu ses appas doit être à-peu-près réparé. {Faut-il avouer que j'ai été curieux de m'en assurer, un jour qu'elle prenait le bain dans sa chambre avec Mlle Fanchette ? J'ai profité de cette occasion, pour dessiner le nu, d'après deux objets aussi parfaits : ces deux esquisses sont charmantes ! car j'ai eu la même occasion, et plus belle encore le lendemain pour y retoucher. Je me promets de profiter souvent de la || manoeuvre adroite que j'emploie.} Ursule, parfaitement formée, a la mollesse et le nourri des contours ; c'est Vénus, ou la nature dans sa perfection ; Fanchette, plus délicate, est moins achevée ; c'est une grâce, c'est Hébé. (sujet de la trente-septième figure.)##Nous recevons Negret en ton absence ; ##--##Reprise du motif pictural de ""Suzanne et les vieillards"".##Curieux mélange de description de tableaux et description des modèlesLe texte entre crochets remplace en 1782 la parenthèse de 1775: [Edmond dit ici qu'il a profité d'une circonstance singuliere, pour dessiner le nud, d'après deux beautés parfaites, et il continue.] "
248	Rétif	Paysan	Mme Parangon venait de nous quitter, pour aller recevoir sa tante Canon, qui nous amenait Ursule, lorsque M. Loiseau m'a appelé. Tandis qu'il me parlait, j'ai vu || M. Parangon se glisser après ma femme, qui allait au jardin. Un mouvement jaloux et très violent m'a fait les suivre. Ma femme allait fort vite, du côté d'un berceau ; mais elle n'apercevait pas le mari de sa cousine. J'ai pris une autre route, et je l'ai devancée ; de sorte que j'ai eu le temps de me cacher dans les feuillages. Ma femme, en entrant, s'est assise ; elle a levé les yeux au ciel, et des larmes ont coulé le long de ses joues. Au bout d'un moment, elles ont cessé ; son teint s'est animé et la sérénité a brillé sur son visage : elle a tiré de sa poche une boîte, que j'ai reconnue pour un présent qui vient de moi : elle a baisé plusieurs fois, un portrait, qui n'y était pas, lorsque je l'ai donnée ; et ce portrait... c'était le mien : Manon le regardait avec une langueur aimable, plus éloquente que les discours les plus passionnés. J'étais hors de moi ; j'allais entrer, et lui faire les caresses qu'un portrait ne pouvait lui rendre, lorsque M. Parangon a paru. En le voyant, Manon a jetté un cri de surprise et d'effroi. -- Ne craignez rien, ma belle cousine, a dit l'infidèle mari de la plus méritante des femmes ; je ne viens que me plaindre de vous. [...] || [...] || Je crois qu'il allait entreprendre de lui fermer la bouche ; mais le bruit que j'ai fait en quittant ma retraite, l'a si fort effrayé, qu'il a fui. En arrivant auprès de mon épouse, qui fondait en larmes, je ne l'ai plus trouvé. Ma vue a redoublé sa douleur : et voyant à mes yeux égarés, que j'allais la quitter, elle est tombée à mes genoux, qu'elle a étroitement embrassés. -- Je suis innocente, me disait-elle, mon cher mari. Croyez que je le suis. -- Je l'ai relevée en l'embrassant. -- Me croyez-vous, -- a-t-elle dit, en levant avec crainte sur moi ses yeux chargés de larmes ? -- J'ai tout entendu, ma chère âme (ai-je répondu) : j'étais ici avant vous. Je sais tout ; votre cousin est un monstre ; et si mon respect pour une femme... à qui nous devons tant de reconnoissance, ne me retenait encore... contentons-nous de ne jamais vous offrir à ses regards... Manon, ce jour est le plus heureux de ma vie ; il te rend digne de tout mon attachement. -- J'achevais à peine ces mots, que j'ai vu tout près de nous Mme Parangon et ma soeur. J'ai fait signe à Manon de s'éloigner avec Ursule, et je n'ai pas différé d'instruire ma cousine de ce qui venait d'arriver. Elle a paru peu sensible à l'infidélité de son mari ; mais la résistance noble et courageuse de Manon l'a satisfaite. Et c'était précisément là ce que j'avais prétendu.##
613	Révéroni	Pauliska	A la pointe du jour, la grande porte s'ouvrit et je vis entrer tous les membres de l'association, méconnaissables cette fois, et vêtues à peu près comme les pénitents blancs. Un long voile ne laissait paraître que leurs yeux, il était impossible de distinguer leur traits ; la taille seule et le pied pouvait laisser soupçonner les grâces de la personne. Au milieu de ce cortège était une jeune misanthrophile, vêtue de même, marchant seule et qui me parut d'une tournure céleste. Elle était couronnée de roses et de jasmins entrelacés ; ses guirlandes étaient pareilles ; derrière elle une ancienne soeur portait des manuscrits. On s'assit, la jeune néophyte se plaça hors des rangs, et la présidente parla ainsi : --##À nouveau, la prise de parole met fin en quelque sorte à la description; en tout cas il n'y a pas de terminaison par la MN, mais simplement une continuation du récit, qui découle de la description tout en la terminant, évidemment. 
667	Rousseau	Julie	"description du Valais J'aurois passé tout le temps de mon voyage dans le seul enchantement du paysage, si je n'en eusse éprouvé un plus doux encore dans le commerce des habitants. Vous trouverez dans ma description un léger crayon de leurs moeurs, de leur simplicité, de leur égalité d'âme, et de cette paisible tranquillité qui les rend heureux par l'exemption des peines plutôt que par le goût des plaisirs. Mais ce que je n'ai pu vous peindre et qu'on ne peut guère imaginer, c'est leur humanité désintéressée, et leur zèle hospitalier pour tous les étrangers que le hasard ou la curiosité conduisent parmi eux. J'en fis une épreuve surprenante, moi qui n'étais connu de personne, et qui ne marchais qu'à l'aide d'un conducteur. Quand j'arrivais le soir dans un hameau, chacun venait avec tant d'empressement m'offrir sa maison, que j'étais embarrassé du choix; et celui qui obtenait la préférence en paraissait si content, que la première fois je pris cette ardeur pour de l'avidité. Mais je fus bien étonné quand, après en avoir usé chez mon hôte à peu près comme au cabaret, il refusa le // lendemain mon argent, s'offensant même de ma proposition, et il en a partout été de même. Ainsi c'était le pur amour de l'hospitalité, communément assez tiède, qu'à sa vivacité j'avais pris pour l'âpreté du gain : leur désintéressement fut si complet, que dans tout le voyage je n'ai pu trouver à placer un patagon. En effet, à quoi dépenser de l'argent dans un pays où les maîtres ne reçoivent point le prix de leurs frais, ni les domestiques celui de leurs soins, et où l'on ne trouve aucun mendiant ? Cependant l'argent est fort rare dans le Haut-Valais; mais c'est pour cela que les habitants sont à leur aise ; car les denrées y sont abondantes sans aucun débouché au dehors, sans consommation de luxe au dedans, et sans que le cultivateur montagnard, dont les travaux sont les plaisirs, devienne moins laborieux. Si jamais ils ont plus d'argent, ils seront infailliblement plus pauvres: ils ont la sagesse de le sentir, et il y a dans le pays des mines d'or qu'il n'est pas permis d'exploiter.##J'étois d'abord fort surpris de l'opposition de ces usages avec ceux du Bas-Valais, où sur la route d'Italie, on rançonne assez durement les passagers, et j'avais peine à concilier dans un même peuple des manières si différentes. Un Valaisan m'en expliqua la raison. ""Dans la vallée, me dit-il, les étrangers qui passent sont des marchands, et d'autres gens uniquement occupés de leur négoce et de leur gain : il est juste qu'ils nous laissent une partie de leur profit, et nous les traitons comme ils traitent les autres. Mais ici, où nulle affaire n'appelle les étrangers, nous sommes sûrs que leur voyage est désintéressé ; l'accueil qu'on leur fait l'est aussi. Ce sont des hôtes qui nous viennent voir parce qu'ils nous aiment, et nous les recevons avec amitié.##Au reste, ajouta-t-il en souriant, cette hospitalité n'est pas coûteuse, et peu de gens s'avisent d'en profiter. - Ah ! je le crois, lui répondis-je. Que ferait-on chez un peuple qui vit pour vivre, non pour gagner ni pour briller ? Hommes heureux et dignes de l'être, j'aime à croire qu'il faut vous ressembler en quelque chose pour se plaire au milieu de vous.""##Ce qui me paraissait le plus agréable dans leur accueil, c'était de n'y pas trouver le moindre vestige de gêne ni // pour eux ni pour moi. Ils vivaient dans leur maison comme si je n'y eusse pas été, et il ne tenait qu'à moi d'y être comme si j'y eusse été seul. Ils ne connaissent point l'incommode vanité d'en faire les honneurs aux étrangers, comme pour les avertir de la présence d'un maître, dont on dépend au moins en cela. Si je ne disais rien, ils supposaient que je voulais vivre à leur manière ; je n'avais qu'à dire un mot pour vivre à la mienne, sans éprouver jamais de leur part la moindre marque de répugnance ou d'étonnement. Le seul compliment qu'ils me firent après avoir su que j'étais Suisse, fut de me dire que nous étions frères, et que je n'avais qu'à me regarder chez eux comme étant chez moi. Puis ils ne s'embarrassèrent plus de ce que je faisais, n'imaginant pas même que je pusse avoir le moindre doute sur la sincérité de leurs offres, ni le moindre scrupule à m'en prévaloir. Ils en usent entre eux avec la même simplicité; les enfants en âge de raison sont les égaux de leurs pères; les domestiques s'asseyent à table avec leurs maîtres; la même liberté règne dans les maisons et dans la république, et la famille est l'image de l'Etat.##La seule chose sur laquelle je ne jouissais pas de la liberté était la durée excessive des repas. J'étais bien le maître de ne pas mettre à table; mais, quand j'y étais une fois, il y fallait rester une partie de la journée, et boire d'autant. Le moyen d'imaginer qu'un homme et un Suisse n'aimât pas à boire? En effet, j'avoue que le bon vin me paraît une excellente chose, et que je ne hais point à m'en égayer, pourvu qu'on ne m'y force pas. J'ai toujours remarqué que les gens faux sont sobres, et la grande réserve de la table annonce assez souvent des moeurs feintes et des âmes doubles. Un homme franc craint moins ce babil affectueux et ces tendres épanchements qui précèdent l'ivresse; mais il faut savoir s'arrêter et prévenir l'excès. Voilà ce qu'il ne m'était guère possible de faire avec d'aussi déterminés buveurs que les Valaisans, des vins aussi violents que ceux du pays, et sur des tables où l'on ne vit jamais d'eau. Comment se résoudre à jouer si sottement le sage et à fâcher de si bonnes gens? Je m'enivrais donc par reconnaissance; et ne pouvant payer mon écot de ma bourse, je le payais de ma raison. //##[...] //##Tandis que je parcourais avec extase ces lieux si peu connus et si dignes d'être admirés ; que faisiez-vous cependant, ma Julie ? "
722	Dorat	Malheurs	"[...] il me suivit à l'entrée du lieu qu'il m'avait inqué, m'en donna la clef et me quitta. [[il [...] il me suivit à l'entrée du lieu qu'il m'avait inqué, m'en donna la clef et me quitta. [[il entre, implicite]]##Jugez de mon ravissement, je me crus transporté sous un autre Ciel, je n'étais plus à moi. Mes yeux ne distinguaient rien... ils cherchaient Madame de Syrcé. À mesure que j'avançais dans ce voluptueux dédale, j'éprouvais un tremblement involontaire, enfin après bien des détours j'entends quelque bruit, je respire à peine... Quel objet ! quel moment ! à travers une charmille je l'aperçois lisant une lettre et cette lettre était une des miennes ! La Marquise qui se croyait seule avait dans son ajustement ce désordre, cette négligence qu'on peut se permettre quand on est sûre de n'avoir pas de témoins. Je ne sais quelle volupté était répandue sur toute sa personne, son sein n'avait d'autre voile qu'une gaze légère que le zéphir dérangeait. J'étais en extase, je la dévorais des yeux, enivré de ce que je voyais j'aurais craint de perdre quelque chose en osant davantage. Je m'enhardis, la porte du santuaire s'ouvre, je parais aux regards de la déesse. Elle jette un cri, sa main tremblante abandonne la lettre qu'elle tenait et sa frayeur et si grande qu'elle reste immobile sans songer même à réparer le désordre de sa parure... oubli charmant dont je remerciai l'amour !##""Ne craignez rien, m'écriai-je, en me précipitant à ses pieds, je suis l'amant que vous avez rêvé, mais l'amant le plus soumis, le plus respectueux, le plus tendre ; je vous adore, je viens vous le dire, vous le répéter cent fois. -- Ô Dieu ! dit-elle, d'une voix presque éteinte, est-ce une illusion ? veillé-je ? est-ce mon rêve qui se prolonge ? -- Oui, oui, reconnaissez un sylphe à mon respect ; les désirs se | taisent, votre beauté les allume, la délicatesse les enchaîne."" À ces mots elle se lève, m'échappe, et me défend de la suivre. Je n'écoute rien, je l'arrête... eh ! pouvais-je obéir ? ""Malheureuse, dit-elle, où suis-je ?... fuyez comte, fuyez, qui vous amène ici ? quel mortel a pu vous y introduire ? cruel ! voulez-vous que je vous hai:sse...?""##Elle retombe sans force et sans couleur sur le lit de gazon près duquel je l'avais ramené ; ses regards peignaient l'effroi, mais non la haine. Alors, saisissant une de ses mains que je couvre de baisers, ""calmez-vous, lui dis-je, ce n'est point un ennemi qui vient vous surprendre, c'est un amant qui veut mourir à vos genoux."" Elle tremblait, soupirait, ses yeux étaient baissés, le mouvement de son sein devenait plus rapide, un léger frisson semblait errer sur ses lèvres ; je les réchauffai à la flamme de mon haleine. Tout me favorisait ; l'ombre commençait à descendre sur ce berceau mystérieux ; j'étais passionné, je fus bientôt plus pressant. Sa terreur était mêlée d'une émotion pleine de charmes, et, jusqu'à ses prières touchantes, tout redoublait mes transports. Je ne voyais qu'elle, je n'entendais que la voix de l'amour... L'occasion, le lieu, la surprise, son saisissement, l'obscurité même assuraient mon triomphe. J'osai profiter de tant d'avantages réunis ; j'osai (peut-être son coeur me le pardonne) j'osai tout : un voile de verdure enveloppa la pudeur ; le sylphe devint homme, et l'homme devint un dieu... ##Il fallut trop tôt s'en séparer : [...]."
752	Révéroni	Pauliska	Il frappa à l'heure prescrite. Je me renfermai dans ma chambre, tremblante, et je prêtai l'oreille avec attention, en même temps que je cherchais à regarder ce qui se passait dans le cabinet. Je vis paraître Salviati, l'air rêveur, marchant gravement, suivi d'un grand homme, le chapeau sur les yeux, que je reconnus bientôt pour être Paolo Guardia, ce peintre scélérat, agent du cardinal-légat et de tous les illuminés. Le peintre donnait la main à une femme voilée, qui me parut d'une taille remarquable et d'une grande beauté ; lorsqu'on leva son voile, des cheveux blonds bouclés retombant sur ses épaules, des yeux noirs, contrastant avec ce teint et cette chevelure, donnèrent à sa physionomie un mélange de sensibilité et de volupté ravissant. Je l'admirais ; lorsque le peintre prononça ces mots : ma chère soeur, je ne vis plus que la corruptrice de mon fils, Zéphirina, et lui jetai des regards d'indignation. ##Zéphirina s'assit d'un air modeste, paraissant aussi agitée que moi. 
834	Sénac	L'Émigré	 la vision dans le miroir Le temps va arriver où je serais obligé de quitter cette aimable société. Je ne puis rien comparer dans ma vie au charme des jours que j'ai passés ici. Il y a quelque temps qu'ayant horriblement souffert, je m'endormis profondément ; à mon réveil, mes yeux se portèrent vers une glace qui est en face du sopha sur lequel je suis pendant la journée, et cette glace m'offrit une femme vêtue de blanc ; les cheveux épars et bouclés tombaient sur un cou d'albâtre entouré d'un rang de perles, une rose était à quelque distance et s'élevait et s'abaissit... deux bras arrondis par l'amour étaient nus jusqu'au coude, et des mains d'une blancheur éblouissante parfilaient des fils d'or. Je restai quelques moments sans faire connaître que j'étais éveillé, et je vis cette figure céleste, jeter des regards d'intérêt de mon côté ; ils ont pénétré, ces regards, jusqu'au plus profond de mon coeur ; je ne me croyais plus sur la terre, et j'étais transporté au milieu des anges. Sa mère était près d'elle et contemplait avec délice sa charmante fille, et un vieillard respectable lisait et s'arrêtait quelquefois pour jeter un regard de satisfaction. Chacun m'exprima à mon réveil, d'une manière touchante ses craintes et le plus tendre intérêt. Ce réveil, ce tableau, car c'en était un, puisque je ne les voyais que dans la glace, seront sans cesse présents à mon esprit. Adieu, ma chère cousine. Parlez-moi un peu de vos amis de Francfort, en échange de tous les détails que je vous envoie, sur une société qui suspend par moments le sentiment de mes malheurs. Encore une fois je me reproche d'être heureux ; mais qui sait ce que me garde l'avenir, et si je ne payerai pas bien cher cet éclair de bonheur. (Saint-Alban à la duchesse de Montdésir, 126) ##[=978-Sénac (1797) L'Émigré=][=2397-Rousseau (1761) Julie=]
859	Sénac	L'Émigré	Je désirais aussi que ce fût le hasard qui m'offrît à ses yeux et de voir si l'oeil d'un amant serait plus pénétrant que celui des indifférents, et s'il retrouverait mes anciens traits, dans ceux que la petite vérole avait altérés. [...] Je le retrouvais à ce bal, où il était occupé à me chercher depuis quelque temps. Je m'étais coiffée de manière à laisser paraître entièrement mes cheveux, et je vis bientôt qu'ils fixaient son attention ; il portait successivement ses regards étonnés de mes yeux à mes cheveux, et écoutait ma voix avec une égale surprise ; je voulus l'augmenter encore, et j'ôtai mes gants. On avait admiré la forme et la blancheur de mes bras, de mes mains et cette vue acheva de confondre le Chevalier. Après les avoir considérés avec une surprise qui tenait de l'effroi, il tâcha de voir mes pieds : nouveau sujet de trouble, enfin il me parcourut des pieds à la tête pour juger de ma grandeur. Il regarda ma taille, et cet article seul n'avait rien qui pût accroître son étonnement ; j'étais fort engraissée, et habillée d'une manière négligée, de sorte que ma taille n'avait plus cette finesse que l'on avait vantée autrefois. Je lui fis des plaisanteries sur cette espèce d'inventaire qu'il faisait de ma personne ; il y répondit par de profonds soupirs, uniquement occupé de celle qu'il regrettait. (Vicomtesse de Vassy, 297) 
925	Louvet	Année	Les faibles rayons du crépuscule tremblant commençaient à laisser distinguer les objets. Depuis presque quinze jours je n'avais aperçu que de rondes villageoises, dont les gros charmes, brûlés par un soleil ardent, flétris par un travail opiniâtre, étaient peu faits pour me tenter ; encore n'avais-je pus les considérer qu'à travers une grille et à plus de cinquante pas de distance. Alors, au contraire, se trouvait près de moi le comte de Florville ! l'aurore naissante me le montra plus beau que ne parut jamais Adonis aux regards de Vénus enchântée ; et puis la marquise pleurait : une femme qui pleure est si intéressante ! Je voulus essuyer ses larmes : je ne sais comment je m'y pris ; mais nos yeux se rencontrèrent ; ma bouche toucha la sienne ; une curiosité fatale égara mes mains... Ô ma jolie cousine ! je devins parjure sans le vouloir ; et, j'en dois faire ici l'aveu, si ton coupable amant ne consomma pas à l'instant son infidélité, c'est que ta rivale attentive ne lui permit pas de tenter certaines entreprises qui, dans une voiture étroite, incommode et cahotée en tous sens sur un pavé inégal, n'ont jamais qu'un demi-succès. 
