	author	title	text
16	Laclos	Liaisons	Enfin, quel que soit le temps, on finit par se séparer, et puis, on est si seul! C'est alors qu'une Lettre est si précieuse; si on ne la lit pas, du moins on la regarde... Ah ! sans doute, on peut regarder une Lettre sans la lire, comme il me semble que la nuit j'aurais encore quelque plaisir à toucher ton portrait...##Ton portrait, ai-je dit? Mais une Lettre est le portrait de l'âme. Elle n'a pas, comme une froide image, cette stagnance si éloignée de l'amour; elle se prête à tous nos mouvements : tour à tour elle s'anime, elle jouit, elle se repose... Tes sentiments me sont tous si précieux ! me priveras-tu d'un moyen de les recueillir ?
17	Laclos	Liaisons	De grâce, Madame, renouons cet entretien si malheureusement rompu ! Que je puisse achever de vous prouver combien je diffère de l'odieux portrait qu'on vous avait fait de moi ; 
18	Laclos	Liaisons	Le matin même de ce jour, il fait trois lots des Lettres de sa Belle, il accompagne l'un du portrait qu'il avait reçu d'elle, le second d'un chiffre amoureux qu'elle-même avait peint, le troisième d'une boucle de ses cheveux; chacune reçut pour complet ce tiers de sacrifice, et consentit, en échange, à envoyer à l'Amant disgracié une Lettre éclatante de rupture. 
19	Laclos	Liaisons	Valmont par Tourvel, à Mme de Volanges Votre Lettre sévère m'aurait effrayée, Madame, si, par bonheur, je n'avais trouvé ici plus de motifs de sécurité que vous ne m'en donnez de crainte. Ce redoutable M. de Valmont, qui doit être la terreur de toutes les femmes, paraît avoir déposé ses armes meurtrières, avant d'entrer dans ce Château. Loin d'y former des projets, il n'y a pas même porté de prétentions ; et la qualité d'homme aimable que ses ennemis mêmes lui accordent, disparaît presque ici, pour ne lui laisser que celle de bon enfant. C'est apparemment l'air de la campagne qui a produit ce miracle. Ce que je vous puis assurer, c'est qu'étant sans cesse avec moi, paraissant même s'y plaire, il ne lui est pas échappé un mot qui ressemble à l'amour, pas une de ces phrases que tous les hommes se permettent, sans avoir, comme lui, ce qu'il faut pour les justifier. Jamais il n'oblige à cette réserve, dans laquelle toute femme qui se respecte est forcée de se tenir aujourd'hui, pour contenir les hommes qui l'entourent. Il sait ne point abuser de la gaieté qu'il inspire. Il est peut-être un peu louangeur; mais c'est avec tant de délicatesse qu'il accoutumerait la modestie même à l'éloge. Enfin, si j'avais un frère, je désirerais qu'il fût tel que M. de Valmont se montre ici. Peut-être beaucoup de femmes lui désireraient une galanterie plus marquée; et j'avoue que je lui sais un gré infini d'avoir su me juger assez bien pour ne pas me confondre avec elles.##Ce portrait diffère beaucoup sans doute de celui que vous me faites; et, malgré cela, tous deux peuvent être ressemblants en fixant les époques. Lui-même convient d'avoir eu beaucoup de torts, et on lui en aura bien aussi prêté quelques-uns. Mais j'ai rencontré peu d'hommes qui parlassent des femmes honnêtes avec plus de respect, je dirais presque d'enthousiasme. vous m'apprenez qu'au moins sur cet objet il ne trompe pas. Sa conduite avec Madame de Merteuil en est une preuve. [...] || ##Voilà, Madame, de bien longs éclaircissements : mais j'ai cru devoir à la vérité un témoignage avantageux à M. de Valmont, et dont il me paraît avoir grand besoin auprès de vous. 
77	Rétif	Paysan	Ensuite le comte et la comtesse ont mené la compagnie devant une petite niche, cachée par un rideau fort précieux, que le comte a tiré : et nous avons vu le portrait d'Ursule, de la main d'Edmond. Ah mon dieu ! Qu'elle est belle dans cette peinture ! Quoiqu'elle soit fort découverte, il a donné à son visage un air si modeste et si innocent, qu'on n'est pas choqué de sa nudité : tout le monde a dit que c'était un chef-d'oeuvre ; et ce qui a bien flatté le comte, c'est qu'on a retrouvé ses traits dans ceux de l'image de sa mère. Il s'est mis à genoux devant le portrait durant deux minutes, avant que de refermer le rideau. 
86	Rétif	Paysan	portraits des enfants Les enfants l'ont entouré ; il leur a donné les tableaux, et s'est retiré précipitamment. Malgré l'orage, nos jeunes gens ont admiré d'abord ces jolies peintures, sans s'y || || reconnaitre : enfin Parangon, qui regardait le portrait de Laure, lui a dit : -- Mais c'est toi, mon Amie ! et ceci me ressemble ! Edmée-Colette s'est en même temps récriée, qu'elle avait son tableau et celui de Zéphirin ! Ces quatre miniatures étaient admirablement peintes. ##
89	Rétif	Paysan	
160	Rétif	Paysan	Je suis tes ordres, ma charmante : ton laquais te dira par quel heureux hasard je l'ai rencontré, comme il portait ton paquet à la poste : mais avant que de te rendre visite, il fallait prendre l'air du bureau, afin de##ne me pas trouver chez toi avec la belle Mme Parangon. Je suis venu dans le coche avec cette incomparable prude ; car elle l'est cent fois plus que jamais, et je crois plus jolie encore que prude : elle a un air de mélancolie douce qui cadre on ne peut mieux avec sa figure, et qui va au coeur. Je n'ai pu obtenir d'être souffert dans la même cabane ; des femmes ont eu seules cet avantage : cependant l'usage, dans ces voitures, c'est qu'hommes, femmes, soldats, moines, honnêtes gens, sacripants, maîtres et valets, tout soit pêle-mêle ; c'est une parfaite image des saturnales des anciens, et comme un avant-goût de la capitale. J'ai cependant tâché d'amuser la belle mélancolique dans les visites de jour : car pour la nuit, porte close ; je servais, je lisais, je conversais, je chantais, je folichonnais, comme tu dis, mais non dans le sens que tu le dis, friponne ; on ne m'a pas honoré d'un souris. C'est pourtant une femme, et une femme comme les autres, c'est-à-dire faible... mais elle ne l'est que pour Edmond. L'heureux mortel ! ... ne va pas inférer de-là, jolie friponne, qu'à mon avis Mme Parangon te surpasse ; elle t'égale, tout au plus : mais cette douceur enchanteresse de ses regards ; cette adorable pruderie qui lui va si bien ! Et puis cette pensée, peut-être, qu'on ne peut la posséder, lui donnent une valeur bien au-dessus de son prix réel. {Mais c'est assez parler de cette matière, et tu sais tout ce qu'elle vaut. Je suis arrivé enfin.}
169	Rétif	Paysan	J'entrevois que tu es prêt à devenir petit-maître, et à te ranger dans cette classe ridicule, mille fois moins avilie qu'elle n'est méprisable. Mon ami, il y a trois sortes de petits-maîtres en Europe : nos farauds du bas étage, les fats de qualité, et les petits-maîtres anglais, dont la secte commence à passer en France. ##Les farauds sont des grivois la plupart sans cervelle ; qui font consister tout leur mérite dans une sorte de propreté affectée, dans une certaine facilité à faire le coup de poing. Les fats, outre l'afféterie et le goût d'une ridicule magnificence, ont de plus tous les autres défauts qui constituent le sot achevé : Bonne opinion d'eux-mêmes exclusivment, présomption, indiscrétion, hardiesse, arrogance, insolence, futilité, bavardage, impudence, fanfaronnade, lâcheté, jactance, dureté, égoi:sme, etc., etc. Ils manquent de bon sens, de pudeur, de droiture, de véracité, d'honnêteté : Ils ne connaissent ni la piété filiale, ni l'amour, ni l'amitié : s'ils jouissent, c'est sans le sentir, et par ostentation. Le petit-maître anglais (dont quelques prétendus philosophistes commencent à prendre le ridicule, est une sorte de quaker plutôt brutal que franc, plus négligé que simple ; un demi-cynique, qui le voudrait être et ne l'ose pas. Les hommes de cette espèce affectent d'outrer toutes les vertus, et n'en pratiquent aucune ; ils sont humains par ostentation, || durs par goût ; ils mettent toute leur morale dans un habit de gros drap, de gros bas, de gros souliers, un grand chapeau, un bâton noueux, une perruque brune, et beaucoup de brusquerie. Vois, mon ami, si tu veux ressembler à quelqu'un de ces fous-là ? Mais non ; ton caractère s'y oppose ; et je m'en rapporte à ta constitution plutôt qu'à la vertu. Cependant je ne désapprouverais pas que tu misses un peu plus de dignité dans tes maniéres ; mais qu'elle soit affectueuse, et non protecteuse avec tes égaux.
178	Rétif	Paysan	Enfin hier, je suis retourné chez la marquise. (j'oubliois de te dire, que son mari était venu voir le tableau, et qu'il en avait été l'on ne saurait plus content.) je faisois porter avec moi, bien enveloppée, l'image de la plus jolie des femmes. On m'a fait attendre dans le cabinet, et j'ai eu le temps d'y retoucher, d'après le charmant modele, quelques endroits, trop parfaits pour que l'art les atteignît tout-d'un-coup. Je n'avais pas besoin de la tête ; j'avais copié le portrait de la marquise ; ainsi l'ouvrage étant aussi achevé que je pouvais le faire, dès qu'elle a été retirée du cabinet des bains, je l'ai porté dans son appartement, où elle n'était pas encore ; et j'ai mis son tableau à la place et dans la même bordure que celui d'Ursule, que j'ai caché.##Tout étant disposé de la sorte, la marquise est arrivée : ses yeux ne se sont pas portés d'abord sur le tableau ; ce n'a été qu'après quelques minutes de conversation, qu'à propos de quelque chose que je lui disois sur sa beauté, elle a voulu apparemment voir si Ursule avait cette perfection. Je ne saurais t'exprimer l'aimable étonnement qui s'est peint dans ses regards et dans toute son attitude, en se reconnoissant dans le tableau substitué. Sa jolie petite bouche était ouverte à demi : elle rougissoit un peu, et l'on voyoit répandu sur son visage, cet air formé d'un mélange de joie, de surprise, et de pudeur. Ah ! Qu'elle était adorable dans cet instant ! J'étais tenté de tomber à ses genoux, et de lui rendre hommage, comme à une divinité.##
