	author	title	pages	letter	text
2	Laclos	Liaisons	41	XVIII	Pendant que Maman et cette Dame qui était venue causaient ensemble, je voulus le regarder encore un petit moment. Je rencontrai ses yeux, et il me fut impossible de détourner les miens. Un moment après je vis ses larmes couler, et il fut obligé de se retourner pour n'être pas vu. Pour le coup, je ne pus y tenir ; je sentis que j'allais pleurer aussi.
3	Laclos	Liaisons	39-40	XVII	Eh! pourquoi vous fâcheriez-vous d'un sentiment que vous avez fait naître ? Émané de vous, sans doute il est digne de vous être offert ; s'il est brûlant comme mon âme, il est pur comme la vôtre. Serait-ce un crime d'avoir su apprécier votre charmante figure, vos || talents séducteurs, vos grâces enchanteresses, et cette touchante candeur qui ajoute un prix inestimable à des qualités déjà si précieuses ? non, sans doute; mais, sans être coupable, ou peut être malheureux ; et c'est le sort qui m'attend, si vous refusez d'agréer mon hommage. 
6	Laclos	Liaisons	29	X	Chevalier Ne savez-vous plus que mon amant est votre ami-né ? Mais rassurez-vous, il n'est point mort ; ou s'il l'était, ce serait de l'excès de sa joie. Ce pauvre Chevalier, comme il est tendre ! comme il est fait pour l'amour ! comme il sait sentir vivement ! la tête m'en tourne. Sérieusement, le bonheur parfait qu'il trouve à être aimé de moi m'attache véritablement à lui.
9	Laclos	Liaisons	25	VIII	Je compte rester à la campagne tout le temps de l'absence de M. de Tourvel. J'ai pris ce temps pour jouir et profiter de la société de la respectable Madame de Rosemonde. Cette femme est toujours charmante : son grand âge ne lui fait rien perdre ; elle conserve toute sa mémoire et sa gaieté. Son corps seul a quatre-vingt-quatre ans; son esprit n'en a que vingt.##Notre retraite...
10	Laclos	Liaisons	23-24	VII	M. le Chevalier Danceny, ce Monsieur dont je t'ai parlé, et avec qui j'ai chanté chez Madame de Merteuil, a la complaisance de venir ici tous les jours, et de chanter avec moi des heures entières. Il est extrêmement aimable. Il chante comme un Ange, et compose de très jolis airs dont il fait aussi les paroles. C'est bien dommage qu'il soit Chevalier de Malte ! Il me semble que s'il se mariait, sa femme serait bien heureuse... Il a une douceur || charmante. Il n'a jamais l'air de faire un compliment, et pourtant tout ce qu'il dit flatte. Il me reprend sans cesse, tant sur la musique que sur autre chose: mais il mêle à ses critiques tant d'intérêt et de gaieté, qu'il est impossible de ne pas lui en savoir gré. Seulement quand il vous regarde, il a l'air de vous dire quelque chose d'obligeant. Il joint à tout cela d'être très complaisant.
11	Laclos	Liaisons	21-22	VI	Quelle preuve plus forte pourriez-vous désirer ? J'ai su pourtant m'en procurer une autre.##J'ai dirigé sa promenade de manière qu'il s'est trouvé un fossé à franchir ; et, quoique fort leste, elle est encore plus timide : vous jugez bien qu'une prude craint de sauter le fossé.* Il a fallu se confier à moi. J'ai tenu dans mes bras cette femme modeste. Nos préparatifs et le passage || de ma vieille tante avaient fait rire aux éclats la folâtre Dévote : mais, dès que je me fus emparé d'elle, par une adroite gaucherie, nos bras s'enlacèrent mutuellement. Je pressai son sein contre le mien ; et, dans ce court intervalle, je sentis son coeur battre plus vite. L'aimable rougeur vint colorer son visage, et son modeste embarras m'apprit assez que son coeur avait palpité d'amour et non de crainte. Ma tante cependant s'y trompa comme vous, et se mit à dire : « L'enfant a eu peur » ; mais la charmante candeur de l'enfant ne lui permit pas le mensonge, et elle répondit naïvement: « Oh non, mais... » Ce seul mot m'a éclairé. Dès ce moment, le doux espoir a remplacé la cruelle inquiétude. 
13	Laclos	Liaisons	385	CLXXV	Le premier effet qu'avait produit mon retour me faisait espérer davantage. Vous devinez que je voulais en juger par moi-même ; et pour m'assurer de voir les premiers || mouvements, je ne m'étais fait précéder par personne, et j'avais calculé ma route pour arriver pendant qu'on serait à table. En effet, je tombai des nues, comme une Divinité d'Opéra qui vient faire un dénouement.##Ayant fait assez de bruit en entrant pour fixer les regards sur moi, je pus voir du même coup d'oeil la joie de ma vieille tante, le dépit de Madame de Volanges, et le plaisir décontenancé de sa fille. Ma Belle, par la place qu'elle occupait, tournait le dos à la porte. Occupée dans ce moment à couper quelque chose, elle ne tourna seulement pas la tête : mais j'adressai la parole à Madame de Rosemonde ; et au premier mot, la sensible Dévote ayant reconnu ma voix, il lui échappa un cri dans lequel je crus reconnaître plus d'amour que de surprise et d'effroi.##Je m'étais alors assez avancé pour voir sa figure : le tumulte de son âme, le combat de ses idées et de ses sentiments, s'y peignirent de vingt façons différentes. Je me mis à table à côté d'elle ; elle ne savait exactement rien de ce qu'elle faisait ni de ce qu'elle disait. Elle essaya de continuer de manger ; il n'y eut pas moyen : enfin, moins d'un quart d'heure après, son embarras et son plaisir devenant plus forts qu'elle, elle n'imagina rien de mieux que de demander permission de sortir de table, et elle se sauva dans le parc, sous le prétexte d'avoir besoin de prendre l'air. Madame de Volanges voulut l'accompagner ; la tendre Prude ne le permit pas : trop heureuse, sans doute, de trouver un prétexte pour être seule, et se livrer sans contrainte à la douce émotion de son coeur ! 
21	Laclos	Liaisons	14	II	Vous avez été ennuyé cent fois, ainsi que moi, de l'importance que met Gercourt à la femme qu'il aura, et de la sotte présomption qui lui fait croire qu'il évitera le sort inévitable. Vous connaissez sa ridicule prévention pour les éducations cloîtrées, et son préjugé, plus ridicule encore, en faveur de la retenue des blondes. En effet, je gagerais que, malgré les soixante mille livres de rente de la petite Volanges, il n'aurait jamais fait ce mariage, si elle eût été brune, ou si elle n'eût pas été au Couvent. Prouvons-lui donc qu'il n'est qu'un sot : il le sera sans doute un jour ; ce n'est pas là ce qui m'embarrasse : mais le plaisant serait qu'il débutât par là. Comme nous nous amuserions le lendemain en l'entendant se vanter ! car il se vantera ; et puis, si une fois vous formez cette petite fille, il y aura bien du malheur si le Gercourt ne devient pas, comme un autre, la fable de Paris.##Au reste, l'Héroïne de ce nouveau Roman mérite tous vos soins : elle est vraiment jolie ; cela n'a que quinze ans, c'est le bouton de rose ; gauche, à la vérité, comme on ne l'est point, et nullement maniérée : mais, vous autres hommes, vous ne craignez pas cela ; de plus, un certain regard langoureux qui promet beaucoup en vérité : ajoutez-y que je vous la recommande ; vous n'avez plus qu'à me remercier et m'obéir.##Vous recevrez cette Lettre demain matin. J'exige que demain à sept heures du soir, vous soyez chez moi. 
22	Laclos	Liaisons	287-295	CXXV	La voilà donc vaincue, cette femme superbe qui avait osé croire qu'elle pourrait me résister! Oui, mon amie, elle est à moi, entièrement à moi; et depuis hier, elle n'a plus rien à m'accorder.##[...]##Quand même la scène d'hier m'aurait, comme je le crois, emporté un peu plus loin que je ne comptais ; quand j'aurais, un moment, partagé le trouble et l'ivresse que je faisais naître : cette illusion passagère serait dissipée à présent ; et cependant le même charme subsiste. [...]##Il était six heures du soir quand j'arrivai chez la belle Recluse, car depuis son retour, sa porte était restée fermée à tout le monde. Elle essaya de se lever quand on m'annonça; mais ses genoux tremblants ne lui permirent pas de rester dans cette situation: elle se rassit sur-le-champ. Comme le Domestique qui m'avait introduit eut quelque service à faire dans l'appartement, elle en parut impatientée. Nous remplîmes cet intervalle par les compliments d'usage. Mais pour ne rien perdre d'un temps dont tous les moments étaient précieux, j'examinais soigneusement le local ; et dès lors, je marquai de l'oeil le théâtre de ma victoire. J'aurais pu en choisir un plus commode : car, dans cette même chambre, il se trouvait une ottomane. Mais je remarquai qu'en face d'elle était un portrait du mari ; et j'eus peur, je l'avoue, qu'avec une femme si singulière, un seul regard que le hasard dirigerait de ce côté ne détruisît en un moment l'ouvrage de tant de soins. Enfin, nous restâmes seuls et j'entrai en matière. ##Après avoir exposé, en peu de mots, que le Père Anselme l'avait dû informer des motifs de ma visite, je me suis plaint du traitement rigoureux que j'avais éprouvé; et j'ai particulièrement appuyé sur le mépris qu'on m'avait témoigné. On s'en est défendu, comme je m'y attendais; [...] Je n'ai pas besoin de vous dire que pendant ce court dialogue, la voix de la tendre Prude était oppressée, et que ses yeux ne s'élevaient pas jusqu'à moi. ##Je jugeai devoir animer un peu cette scène languissante; ainsi, me levant avec l'air du dépit: « Votre fermeté, dis-je alors, me rend toute la mienne. Hé bien! oui, Madame, nous serons séparés, séparés même plus que vous ne pensez: et vous vous féliciterez à loisir de votre ouvrage. » Un peu surprise de ce ton de reproche, elle voulut répliquer. -- « La résolution que vous avez prise..., dit-elle. -- N'est que l'effet de mon désespoir, repris-je avec emportement. Vous avez voulu que je sois malheureux ; je vous prouverai que vous avez réussi au-delà de vos souhaits. -- Je désire votre bonheur », répondit-elle. ##Et le son de sa voix commençait à annoncer une émotion assez forte. Aussi me précipitant à ses genoux, et du ton dramatique que vous me connaissez: -- « Ah! cruelle, me suis-je écrié, peut-il exister pour moi un bonheur que vous ne partagiez pas? Où donc le trouver loin de vous? Ah! jamais! jamais! » [...]##Cependant, tandis qu'elle se dérobait à moi, j'ajoutai d'un ton bas et sinistre, mais de façon qu'elle pût m'entendre: -- « Hé bien! la mort! » Je me relevai alors; et gardant un moment le silence, je jetais sur elle, comme au hasard, des regards farouches qui, pour avoir l'air d'être égarés, n'en étaient pas moins clairvoyants et observateurs.##Le maintien mal assuré, la respiration haute, la contraction de tous les muscles, les bras tremblants, et à demi élevés, tout me prouvait assez que l'effet était tel que j'avais voulu le produire ; mais, comme en amour rien ne se finit que de très près, et que nous étions alors assez loin l'un de l'autre, il fallait avant tout se rapprocher. Ce fut pour y parvenir que je passai le plus tôt possible à une apparente tranquillité, propre à calmer les effets de cet état violent, sans en affaiblir l'impression. ##[...] ##Tandis que je parlais ainsi, je sentais son coeur palpiter avec violence; j'observais l'altération de sa figure ; je voyais, surtout, les larmes la suffoquer, et ne couler cependant que rares et pénibles. Ce ne fut qu'alors que je pris le parti de feindre de m'éloigner; aussi, me retenant avec force: -- « Non, écoutez-moi, dit-elle vivement. -- Laissez-moi, répondis-je. -- Vous m'écouterez, je le veux. -- Il faut vous fuir, il le faut! -- Non! » s'écria-t-elle... À ce dernier mot, elle se précipita ou plutôt tomba évanouie entre mes bras. Comme je doutais encore d'un si heureux succès, je feignis un grand effroi ; mais tout en m'effrayant, je la conduisais, ou la portais vers le lieu précédemment désigné pour le champ de ma gloire; et en effet elle ne revint à elle que soumise et déjà livrée à son heureux vainqueur.##[...] Mais je trouvai une résistance vraiment effrayante, moins encore par son excès que par la forme sous laquelle elle se montrait.##Figurez-vous une femme assise, d'une raideur immobile, et d'une figure invariable; n'ayant l'air ni de penser, ni d'écouter, ni d'entendre; dont les yeux fixes laissent échapper des larmes assez continues, mais qui coulent sans effort. Telle était Madame de Tourvel, pendant mes discours ; mais si j'essayais de ramener son attention vers moi par une caresse, par le geste même le plus innocent, à cette apparente apathie succédaient aussitôt la terreur, la suffocation, les convulsions, les sanglots, et quelques cris par intervalles, mais sans un mot articulé.##Ces crises revinrent plusieurs fois, et toujours plus fortes ; la dernière même fut si violente que j'en fus entièrement découragé et craignis un moment d'avoir remporté une victoire inutile. Je me rabattis sur les lieux communs d'usage; et dans le nombre se trouva celui-ci : « Et vous êtes dans le désespoir, parce que vous avez fait mon bonheur? » ##A ce mot, l'adorable femme se tourna vers moi; et sa figure, quoique encore un peu effarée, avait pourtant déjà repris son expression céleste. « Votre bonheur », me dit-elle. Vous devinez ma réponse. « Vous êtes donc heureux? » Je redoublai les protestations. -- « Et heureux par moi! » J'ajoutai les louanges et les tendres propos. Tandis que je parlais, tous ses membres s'assouplirent ; elle retomba avec mollesse, appuyée sur son fauteuil ; et m'abandonnant une main que j'avais osé prendre: -- « Je sens, dit-elle, que cette idée me console et me soulage. » vous jugez qu'ainsi remis sur la voie, je ne la quittai plus; c'était réellement la bonne, et peut-être la seule. Aussi quand je voulus tenter un second succès, j'éprouvai d'abord quelque résistance, et ce qui s'était passé auparavant me rendait circonspect: mais ayant appelé à mon secours cette même idée de mon bonheur, j'en ressentis bientôt les favorables effets: -- « Vous avez raison, me dit la tendre personne; je ne puis plus supporter mon existence qu'autant qu'elle servira à vous rendre heureux. Je m'y consacre tout entière: dès ce moment je me donne à vous, et vous n'éprouverez de ma part ni refus, ni regrets. » Ce fut avec cette candeur naïve ou sublime qu'elle me livra sa personne et ses charmes, et qu'elle augmenta mon bonheur en le partageant. L'ivresse fut complète et réciproque ; et, pour la première fois, la mienne survécut au plaisir. Je ne sortis de ses bras que pour tomber à ses genoux, pour lui jurer un amour éternel ; et, il faut tout avouer, je pensais ce que je disais. Enfin, même après nous être séparés, son idée ne me quittait point, et j'ai eu besoin de me travailler pour m'en distraire.
24	Laclos	Liaisons	153-154	LXXVI	Je revins au salon. J'y trouvai ma Belle établie sur une chaise longue dans un abandon délicieux. ##Ce spectacle, en éveillant mes désirs, anima mes regards; je sentis qu'ils devaient être tendres et pressants, et je me plaçai de manière à pouvoir en faire usage. Leur premier effet fut de faire baisser les grands yeux modestes de la céleste Prude. Je considérai quelque temps cette figure angélique; puis, parcourant toute sa personne je m'amusais à deviner les contours et les formes à travers un vêtement léger, mais toujours importun. Après être descendu de la tête aux pieds, je remontais des pieds à la tête... Ma belle amie, le doux regard était fixé sur moi; sur-le-champ il se baissa de nouveau, mais voulant en favoriser le retour, je détournai mes yeux. Alors s'établit entre nous cette convention tacite, premier traité de l'amour timide, qui, pour satisfaire le besoin mutuel de se voir, permet aux regards de se succéder en attendant qu'ils se confondent.##Persuadé que ce nouveau plaisir occupait ma Belle tout entière, je me chargeai de veiller à notre commune sûreté: mais après m'être assuré qu'une conversation assez vive nous sauvait des remarques du cercle, je tâchai d'obtenir de ses yeux qu'ils parlassent franchement leur langage. Pour cela je surpris d'abord quelques regards; mais avec tant de réserve, que la modestie n'en pouvait être alarmée; et pour mettre la timide personne plus à son aise, je paraissais moi-même aussi embarrassé qu'elle. Peu à peu nos yeux, accoutumés à se rencontrer, se fixèrent plus longtemps; enfin ils ne se quittèrent plus, et j'aperçus dans les siens cette douce langueur, signal heureux de l'amour et du désir ; mais ce ne fut qu'un moment; et bientôt revenue à elle même, elle changea, non sans quelque honte, son maintien et son regard. ##Ne voulant pas qu'elle pût douter que j'eusse remarqué || ses divers mouvements, je me levai avec vivacité, en lui demandant, avec l'air de l'effroi, si elle se trouvait mal. Aussitôt tout le monde vint l'entourer. ##[=1462-Diderot (1780-82) Religieuse=][=2064-Diderot (1778-80) Jacques=][=2076-Diderot (1778-80) Jacques=][=2093-Diderot (1778-80) Jacques=][=2096-Diderot (1778-80) Jacques=][=2387-Rousseau (1761) Julie=][=3138-Laclos (1782) Liaisons=]
