	author	title	pages	letter	text
215	Rétif	Paysan	332-334	LXXXIII	Enfin, les deux soeurs sont entrées. Je voudrais pouvoir te rendre l'impression que la vue d'Edmée a faite sur nos parents : ils sont demeurés interdits || [illustration] || autant de joie que d'admiration. La charmante fille est d'abord allée à notre mère, qui l'a reçue dans ses bras. La tendre Edmée, s'est mise à ses genoux, et lui a pris la main, qu'elle a portée à ses levres. -- Je vois, Madame (lui disait-elle), la bonté de votre coeur sur votre visage, et queje vais recouvrer en vous une mère aussi bonne que celle que j'ai perdue ! -- Oui, ma fille (a répondu Barbe de B**), oui, je vous serai une bonne mère -- (sujet de la trentième figure). Juge, mon ami, des mouvements du coeur de cette bonne et simple femme, qui n'est pas accoutumée à la maniere tendre et respectueuse qu'employait Edmée : elle a ajouté mille choses affectueuses, mais sans ordre et sans suite. Notre père est venu prendre Edmée par la main, et lui a dit : --Ma fille, soyez bénie de Dieu : votre soeur ressemble à Lia ; mais vous, vous êtes belle, et serez chérie de votre mari comme Rachel : mes chères filles, vous êtes toutes deux un présent que je reçois avec action de graces, des mains de l'éternel --. Le bonhomme Servigné s'est écrié : -- Ah ! Mon frère ! Vous êtes l'homme que je desirais de connaître depuis plus de quarante ans ! Vous savez l'écriture, et vous avez de la religion sans bigotterie, car vous aimez le vin : buvons, mon frère, et remercions Dieu des biens qu'il nous donne, la coupe à la main, comme autrefois les Patriarches -- ! ##Catherine, pendant tout cela, faisait mille amitiés à nos frères et soeurs, mettait le couvert, causait, riait, repoussait Georget qui cherchait à lui prendre un baiser.
377	[Anonyme]	De Langres	35		Le lendemain à son réveil elle fut voir ses fleurs ; qu'elles lui semblerent différentes de ce qu'elles lui avaient paru la veille ! Jamais elle n'ont été si belles à ses yeux. Elle les contemplait avec satisfaction, &amp; se rappellait en même tems tout ce qui s'était dit au sujet de son amant. Elle fit quelques tours dans le jardin, toujours occupée du même objet, &amp; fut donner le bon jour à son pere. ##
381	[Anonyme]	De Langres	15-16		Juliette, c'est le nom de mademoiselle d'Est..., passa la nuit aussi agitée que l'était De Langres. A peine le jour commençait-il à paraître, qu'elle descendit dans le jardin &amp; fut voir les fleurs qu'elle avait coutume de cultiver. Elles n'ont plus à ses yeux les attraits qu'elles avaient toujours. Le sombre de son ame a passé sur tout ce qui l'environne. Tout dépend de la situation où l'on se trouve. Les objets les plus riants n'ont rien que affecte un coeur qui n'est point tranquille. Juliette, occupée de son amant, passe dans un cabinet de charmilles, &amp; livrée à elle-même, s'abandonne au // plaisir de ne penser qu'à lui.
451	Du Laurens	Mathieu	167-168		-- Holà, messieurs, dit le marchand, point de bruit chez moi, s'il vous plaît. Monsieur le théologien, j'avais jugé à votre mine pincée, sérieuse, votre démarche grave, à votre air de suffisance, et surtout par l' habit que vous portez, que vous deviez être un homme de // quelque savoir, de quelque jugement ; c'est pourquoi je vous avais invité pour dire votre sentiment sur la méthode que cet étranger propose ; maintenant je vois que vous n'êtes qu'un ignorant, un pitoyable raisonneur, un incivil, un emporté, un brutal ; je vous prie de sortir de chez moi à l'instant, et de n'y jamais remettre le pied. 
524	Bellin	Nuit	159-160		"Depuis un instant le calme qui régnait autour de lui n'était troublé par aucun bruit, lorsqu'il entendit un léger frottement qui paraissait venir du plafond. Il y porta les yeux et aperçut un grand panier qui descendait à l'aide d'une grosse corde. Bientôt il posa à terre, et deux hommes en sortirent. ""Ils étaient grands, robustes et bien faits, les traits durs et le teint hâlé3. Leur figure était audacieuse ; leurs cheveux noirs, coupés fort courts[,] se bouclaient sur leur cou ; au lieu d'un habit de chasseur, ils étaient revêtus d'un uniforme militaire usé : leurs sandales étaient lacées sur des jambes nerveuses, et de cours hauts-de-chausses tenaient à leur ceinture. Ils avaient sur la tête une espèce de bonnet de cuir, qui // ressemblait beaucoup au casque des Romanis ; mais leurs sourcils, qui se fronçaient au-dessous, eussent plutôt indiqué deux des Barbares qui conquirent Rome que deux de ses généreux soldats1. Ils avaient chacun un baudrier de cuir auquel étaient suspendus un large coutelas et une paire de pistolets2"". ##-- Porte de fer ! s'écria M. Dabaud... "
534	Bellin	Nuit	141		"Comme il était plongé dans sa méditation, il entendit encore un dérangement dans la chambre, et portant ses yeux vers le lit, il aperçut une jeune personne qui ""à la blancheur d'une peau satinée, joignait cette coupe de figure enchanteresse dont le pinceau de Raphae:l a embelli l'image des créatures célestes. Ses beaux cheveux bouclés par la nature, ses yeux bleus où se peignait la douce sensibilité de son âme, ses grandes paupières qu'abaissaient timidement la candeur et la modestie, son front découvert qui servait de trône à la candeur, enfin son sourir angélique, en faisaient une de ces beautés idéales jusqu'à ce jour, et que les esprits exaltés ont placées dans les régions imaginaires1. Son corsage avait la légèreté aérienne des nymphes. Quand elle souriait, elle eût pu servir de modèle pour peindre la jeune soeur d'Hébé2"". M. Dabaud ""la vit se lever d'un petit autel où elle venait de faire sa prière ; la ferveur de la dévotion était peinte sur ses traits lorsqu'elle leva les yeux et les porta au ciel avec une expression pathétique. Ses beaux cheveux étaient négligemment serrés dans un réseau de soie, et plusieurs tresses qui s'étaient échappées venaient de tomber sur son cou et autour de son visage, qu'un voile ne couvrait point alors ; la draperie légère de ses habits, son air, son attitude la rendaient telle qu'on nous représente les nymphes de la Grèce3"". ##Reconnaissant la figure du portrait, ne doutant pas que ce fût celle dont la voix l'avait charmé, M. Dabaud se leva et voulut aller vers elle."
609	Révéroni	Pauliska	105		[...] et jusque-là, quoique toujours triste, la route ne m'avait offert que des détours faciles ; [...] et jusque-là, quoique toujours triste, la route ne m'avait offert que des détours faciles ; mais elle devint pénible dans ces montagnes à pic et boisées, où les chemins se disputent avec les torrents un étroit passage. À la vérité cette nature agreste et dure convenait à la situation de mon coeur. Ces abîmes me peignaient ceux où j'étais tombée, et ces ardoisières, teignant en noir les eaux qui descendaient dans la plaine, semblaient porter à leurs habitants le deuil de mon âme et jeter au loin des crêpes funèbres sur la verdure. Je m'égarais dans une sombre rêverie, lorsqu'une voix qui m'était connue frappa mes oreilles.
631	Rousseau	Julie	541-542	V.II	C'est ainsi, milord, que cette âme angélique trouve toujours dans ses vertus de quoi combattre les vaines subtilités dont les gens cruels pallient leurs vices. Tous ces soins et d'autres semblables sont mis par elle au rang de ses plaisirs, et remplissent une partie du temps que lui laissent ses devoirs les plus chéris. Quand, après s'être acquittée de tout ce qu'elle doit aux autres, elle songe ensuite à elle-même, ce qu'elle fait pour se rendre la vie agréable peut encore être compté parmi ses vertus; tant son motif est toujours louable et honnête, et tant il y a de tempérance et de raison dans tout ce qu'elle accorde à ses désirs! Elle veut plaire à son mari qui aime à la voir contente et gaie; elle veut inspirer à ses enfants le goût des innocents plaisirs que la modération, l'ordre et la simplicité font valoir, et qui détournent le coeur des passions impétueuses. Elle s'amuse pour les amuser, comme la colombe amollit dans son estomac le grain dont elle veut nourrir ses petits.##Julie a l'âme et le corps également sensibles. La même délicatesse règne dans ses sentiments et dans ses organes. Elle était fait pour connaître et goûter tous les plaisirs, et longtemps elle n'aima si chèrement la vertu même que comme la plus douce des voluptés. Aujourd'hui qu'elle sent en paix cette volupté suprême, elle ne se refuse aucune de celles qui peuvent s'associer avec celle-là: mais sa manière de les goûter ressemble à l'austérité de ceux qui s'y refusent, et l'art de jouir est pour elle celui des privations; non de ces privations pénibles et douloureuses qui blessent la nature, et dont son auteur dédaigne l'hommage insensé, mais des privations passagères et modérées qui conservent à la raison son empire, et servant d'assaisonnement au plaisir en préviennent le dégoût et l'abus. Elle prétend que tout ce qui tient aux sens et n'est pas nécessaire à la vie change de nature aussitôt qu'il tourne en habitude, qu'il cesse d'être un plaisir en devenant un besoin, que c'est à la fois une chaîne qu'on se // donne et une jouissance don on se prive, et que prévenir toujours les désirs n'est pas l'art de les contenter, mais de les éteindre. Tout celui qu'elle emploie à donner du prix aux moindres choses est de se les refuser vingt fois pour en jouir une. Cette âme simple se conserve ainsi son premier ressort: son goût ne s'use point; elle n'a jamais besoin de le ranimer par des excès, et je la vois souvent savourer avec délices un plaisir d'enfant qui serait insipide à tout autre.##Un objet plus noble qu'elle se propose encore en cela est de rester maîtresse d'elle-même, d'accoutumer ses passions à l'obéissance, et de plier tous ses désirs à la règle. C'est un nouveau moyen d'être heureuse; car on ne jouit sans inquiétude que de ce qu'on peut perdre sans peine; et si le vrai bonheur appartient au sage, c'est parce qu'il est de tous les hommes celui à qui la fortune peut le moins ôter. 
632	Rousseau	Julie	517-520	IV.XVII	"[1] Vous savez qu'après mon exil du Valais je revins il y a dix ans à Meillerie attendre la [1] Vous savez qu'après mon exil du Valais je revins il y a dix ans à Meillerie attendre la permission de mon retour. C'est là que je passai des jours si tristes et si délicieux, uniquement occupé d'elle, et c'est de là que je lui écrivis une lettre dont elle fut si touchée. J'avais toujours désiré de revoir la retraite isolée qui me servit d'asile au milieu des glaces et où mon coeur se plaisait à converser en lui-même avec ce qu'il eut de plus cher au monde. L'occasion de visiter ce lieu si chéri dans une saison plus agréable, et avec celle dont l'image l'habitait jadis avec moi, fut le motif secret de ma promenade. Je me faisais un plaisir // de lui montrer d'anciens monuments d'une passion si constante et si malheureuse. ##[2] Nous y parvînmes après une heure de marche par des sentiers tortueux et frais, qui, montant insensiblement entre les arbres et les rochers, n'avaient rien de plus incommode que la longueur du chemin. En approchant et reconnaissant mes anciens renseignements, je fus prêt à me trouver mal ; mais je me surmontai, je cachai mon trouble, et nous arrivâmes. Ce lieu solitaire formait un réduit sauvage et désert, mais plein de ces sortes de beautés qui ne plaisent qu'aux âmes sensibles, et paraissent horribles aux autres. Un torrent formé par la fonte des neiges roulait à vingt pas de nous une eau bourbeuse, charriait avec bruit du limon, du sable et des pierres. Derrière nous une chaîne de roches inaccessibles séparait l'esplanade où nous étions de cette partie des Alpes qu'on nomme les Glacières, parce que d'énormes sommets de glaces qui s'accroissent incessamment les couvrent depuis le commencement du monde. Des forêts de noirs sapins nous ombrageaient tristement à droite. Un grand bois de chênes était à gauche au delà du torrent ; et au-dessous de nous cette immense plaine d'eau que le lac forme au sein des Alpes nous séparait des riches côtes du pays de Vaud, dont la cime du majestueux Jura couronnait le tableau.##[3] Au milieu de ces grands et superbes objets, le petit terrain où nous étions étalait les charmes d'un séjour riant et champêtre ; quelques ruisseaux filtraient à travers les rochers, et roulaient sur la verdure en filets de cristal; quelques arbres fruitiers sauvages penchaient leurs têtes sur les nôtres; la terre humide et fraîche était couverte d'herbe et de fleurs. En comparant un si doux séjour aux objets qui l'environnaient, il semblait que ce lieu dût être l'asile de deux amants échappés seuls au bouleversement de la nature.##[4] Quand nous eûmes atteint ce réduit et que je l'eus quelque temps contemplé : ""Quoi ! dis-je à Julie en la regardant avec un oeil humide, votre coeur ne vous dit-il // rien ici, et ne sentez-vous point quelque émotion secrète à l'aspect d'un lieu si plein de vous ?"" Alors, sans attendre sa réponse, je la conduisis vers le rocher, et lui montrai son chiffre gravé dans mille endroits, et plusieurs vers de Pétrarque ou du Tasse relatifs à la situation où j'étais en les traçant. En les revoyant moi-même après si longtemps, j'éprouvai combien la présence des objets peut ranimer puissamment les sentiments violents dont on fut agité près d'eux. Je lui dis avec un peu de véhémence : ""O Julie, éternel charme de mon coeur ! [5] Voici les lieux où soupira jadis pour toi le plus fidèle amant du monde. Voici le séjour où ta chère image faisait son bonheur, et préparait celui qu'il reçut enfin de toi-même. On n'y voyait alors ni ces fruits ni ces ombrages ; la verdure et les fleurs ne tapissaient point ces compartiments, le cours de ces ruisseaux n'en formait point les divisions ; ces oiseaux n'y faisaient point entendre leurs ramages ; le vorace épervier, le corbeau funèbre, et l'aigle terrible des Alpes, faisaient seuls retentir de leurs cris ces cavernes ; d'immenses glaces pendaient à tous ces rochers ; des festons de neige étaient le seul ornement de ces arbres ; tout respirait ici les rigueurs de l'hiver et l'horreur des frimas ; les feux seuls de mon coeur me rendaient ce lieu supportable, et les jours entiers s'y passaient à penser à toi. Voilà la pierre où je m'asseyais pour contempler au loin ton heureux séjour ; sur celle-ci fut écrite la lettre qui toucha ton coeur; ces cailloux tranchants me servaient de burin pour graver ton chiffre;ici je passai le torrent glacé pour reprendre une de tes lettres qu'emportait un tourbillon ; là je vins relire et baiser mille fois la dernière que tu m'écrivis; voilà le bord où d'un oeil avide et sombre je mesurais la profondeur de ces abîmes ; enfin ce fut ici qu'avant mon triste départ je vins te pleurer mourante et jurer de ne te pas survivre. Fille trop constamment aimée, ô toi pour qui j'étais né ! Faut-il me retrouver avec toi dans les mêmes lieux, et regretter le temps que j'y passais à gémir de ton absence ?..."" J'allais continuer ; mais Julie, qui, me voyant approcher du bord, s'était effrayée et m'avait saisi la main, la serra sans mot dire en me regardant avec tendresse et retenant avec peine un soupir ; puis tout à coup détournant la vue et me tirant par le bras : ""Allons-nous-en, mon ami, me dit-elle d'une voix émue ; l'air // de ce lieu n'est pas bon pour moi."" Je partis avec elle en gémissant, mais sans lui répondre, et je quittai pour jamais ce triste réduit comme j'aurais quitté Julie elle-même.##Revenus lentement au port après quelques détours, nous nous séparâmes. Elle voulut rester seule, et je continuai de me promener sans trop savoir où j'allais."
664	Rousseau	Julie	116-117	I.XXXVIII	la nature est le miroir du bonheur des amants Je trouve la campagne plus riante, la verdure plus fraîche et plus vive, l'air plus pur, le ciel plus serein ; le chant des oiseaux semble avoir plus de tendresse et de volupté ; le murmure des eaux inspire une langueur plus amoureuse, la vigne en fleurs exhale au loin de plus doux parfums ; un charme secret embellit tous les objets ou fascine mes sens ; on dirait que la terre se pare pour former à ton heureux amant un lit nuptial digne de la beauté qu'il adore et du feu qui le consume. O Julie ! ô chère et // précieuse moitié de mon âme ! hâtons-nous d'ajouter à ces ornements du printemps la présence de deux amant fidèles. Portons le sentiment du plaisir dans des lieux qui n'en offrent qu'une vaine image ; allons animer toute la nature : elle est morte sans les feux de l'amour. Quoi ! trois jours d'attente ! trois jours encore ! Ivre d'amour, affamé de transports, j'attends ce moment tardif avec une douloureuse impatience. Ah ! qu'on serait heureux si le ciel ôtait de la vie tous les ennuyeux intervalles qui séparent de pareils instants !
