	author	title	text
451	Du Laurens	Mathieu	-- Holà, messieurs, dit le marchand, point de bruit chez moi, s'il vous plaît. Monsieur le théologien, j'avais jugé à votre mine pincée, sérieuse, votre démarche grave, à votre air de suffisance, et surtout par l' habit que vous portez, que vous deviez être un homme de // quelque savoir, de quelque jugement ; c'est pourquoi je vous avais invité pour dire votre sentiment sur la méthode que cet étranger propose ; maintenant je vois que vous n'êtes qu'un ignorant, un pitoyable raisonneur, un incivil, un emporté, un brutal ; je vous prie de sortir de chez moi à l'instant, et de n'y jamais remettre le pied. 
512	Sade	Justine	
656	Rousseau	Julie	"Lettre XIV à Julie ##J'entre avec une secrète horreur dans ce vaste désert du monde. Ce chaos ne m'offre qu'une solitude affreuse où règne un morne silence. Mon âme à la presse cherche à s'y répandre, et se trouve partout resserrée. ""Je ne suis jamais moins seul que quand je suis seul"", disait un ancien: moi, je ne suis seul que dans la foule, où je ne puis être ni à toi ni aux autres. Mon coeur voudrait parler, il sent qu'il n'est point écouté ; il voudrait répondre, on ne lui dit rien qui puisse aller jusqu'à lui. Je n'entends point la langue du pays, et personne ici n'entend la mienne.##Ce n'est pas qu'on ne me fasse beaucoup d'accueil, d'amitiés, de prévenances, et que mille soins officieux n'y semblent voler au-devant de moi, mais c'est précisément de quoi je me plains. Le moyen d'être aussitôt l'ami de quelqu'un qu'on n'a jamais vu? L'honnête intérêt de l'humanité, l'épanchement simple et touchant d'une ame // franche, ont un langage bien différent des fausses démonstrations de la politesse et des dehors trompeurs que l'usage du monde exige. J'ai grand'peur que celui qui, dès la première vue, me traite comme un ami de vingt ans, ne me traitât, au bout de vingt ans, comme un inconnu, si j'avais quelque important service à lui demander; et quand je vois des hommes si dissipés prendre un intérêt si tendre à tant de gens, je présumerais volontiers qu'ils n'en prennent à personne.##Il y a pourtant de la réalité à tout cela ; car le Français est naturellement bon, ouvert, hospitalier, bienfaisant ; mais il y a aussi mille manières de parler qu'il ne faut pas prendre à la lettre, mille offres apparentes qui ne sont faites que pour être refusées, mille espèces de pièges que la politesse tend à la bonne foi rustique. Je n'entendis jamais tant dire: ""Comptez sur moi dans l'occasion, disposez de mon crédit, de ma bourse, de ma maison, de mon équipage."" Si tout cela était sincère et pris au mot, il n'y aurait pas de peuple moins attaché à la propriété ; la communauté des biens serait ici presque établie : le plus riche offrant sans cesse, et le plus pauvre acceptant toujours, tout se mettrait naturellement de niveau, et Sparte même eût eu des partages moins égaux qu'ils ne seraient à Paris. Au lieu de cela, c'est peut-être la ville du monde où les fortunes sont le plus inégales, et où règnent à la fois la plus somptueuse opulence et la plus déplorable misère. Il n'en faut pas davantage pour comprendre ce que signifient cette apparente commisération qui semble toujours aller au-devant des besoins d'autrui, et cette facile tendresse de coeur qui contracte en un moment des amitiés éternelles.##Au lieu de tous ces sentiments suspects et de cette confiance trompeuse, veux-je chercher des lumières et de l'instruction? C'en est ici l'aimable source, et l'on est d'abord enchanté du savoir et de la raison qu'on trouve dans les entretiens, non seulement des savants et des gens de lettres, mais des hommes de tous les états, et même des femmes : le ton de la conversation y est coulant et naturel; il n'est ni pesant, ni frivole; il est savant sans pédanterie, gai sans tumulte, poli sans affectation, galant sans fadeur, badin sans équivoques. Ce ne sont ni des dissertations ni des épigrammes : on y raisonne sans argumenter; on y plaisante sans jeux de mots ; on y // associe avec art l'esprit et la raison, les maximes et les saillies, la satire aiguë, l'adroite flatterie, et la morale austère. On y parle de tout pour que chacun ait quelque chose à dire; on n'approfondit point les questions de peur d'ennuyer, on les propose comme en passant, on les traite avec rapidité ; la précision mène à l'élégance : chacun dit son avis et l'appuie en peu de mots; nul n'attaque avec chaleur celui d'autrui, nul ne défend opiniâtrement le sien; on discute pour s'éclairer, on s'arrête avant la dispute; chacun s'instruit, chacun s'amuse, tous s'en vont contents, et le sage même peut rapporter de ces entretiens des sujets dignes d'être médités en silence.##Mais au fond, que penses-tu qu'on apprenne dans ces conversations si charmantes? A juger sainement des choses du monde? à bien user de la société? à connaître au moins les gens avec qui l'on vit? Rien de tout cela, ma Julie. On y apprend à plaider avec art la cause du mensonge, à ébranler à force de philosophie tous les principes de la vertu, à colorer de sophismes subtils ses passions et ses préjugés, et à donner à l'erreur un certain tour à la mode selon les maximes du jour. Il n'est point nécessaire de connaître le caractère des gens, mais seulement leurs intérêts, pour deviner à peu près ce qu'ils diront de chaque chose. Quand un homme parle, c'est pour ainsi dire son habit et non pas lui qui a un sentiment; et il en changera sans façon tout aussi souvent que d'état. Donnez-lui tour à tour une longue perruque, un habit d'ordonnance et une croix pectorale, vous l'entendrez successivement prêcher avec le même zèle les lois, le despotisme, et l'inquisition. Il y a une raison commune pour la robe, une autre pour la finance, une autre pour l'épée. Chacun prouve très bien que les deux autres sont mauvaises, conséquence facile à tirer pour les trois. Ainsi nul ne dit jamais ce qu'il pense, mais ce qu'il // lui convient de faire penser à autrui; et le zèle apparent de la vérité n'est jamais en eux que le masque de l'intérêt.##Vous croiriez que le gens isolés qui vivent dans l'indépendance ont au moins un esprit à eux; point du tout; autres machines qui ne pensent point, et qu'on fait penser par ressorts. On n'a qu'à s'informer de leurs sociétés, de leurs coteries, de leurs amis, des femmes qu'ils voient, des auteurs qu'ils connaissent; là-dessus on peut d'avance établir leur sentiment futur sur un livre prêt à paraître et qu'ils n'ont point lu; sur une pièce prête à jouer et qu'ils n'ont point vue, sur tel ou tel auteur, qu'ils ne connaissent point, sur tel ou tel système dont ils n'ont aucune idée; et comme la pendule ne se monte ordinairement que pour vingt-quatre heures, tous ces gens-là s'en vont, chaque soir, apprendre dans leurs sociétés ce qu'ils penseront le lendemain.##Il y a ainsi un petit nombre d'hommes et de femmes qui pensent pour tous les autres, et pour lesquels tous les autres parlent et agissent; et comme chacun songe à son intérêt, personne au bien commun, et que les intérêts particuliers sont toujours opposés entre eux, c'est un choc perpétuel de brigues et de cabales, un flux et reflux de préjugés, d'opinions contraires, où les plus échauffés, animés par les autres, ne savent presque jamais de quoi il est question. Chaque coterie a ses règles, ses jugements, ses principes, qui ne sont point admis ailleurs. L'honnête homme d'une maison est un fripon dans la maison voisine: le bon, le mauvais, le beau, le laid, la vérité, la vertu, n'ont qu'une existence locale et circonscrite. Quiconque aime à se répandre et fréquente plusieurs sociétés doit être plus flexible qu'Alcibiade, changer de principes comme d'assemblées, modifier son esprit pour ainsi dire à chaque pas, et mesurer ses maximes à la toise: il faut qu'à chaque visite il quitte en entrant son âme, s'il en a une; qu'il en prenne une autre aux couleurs de la maison, comme un laquais prend un habit de livrée; qu'il la pose de même en sortant et reprenne, s'il veut, la sienne jusqu'à nouvel échange.##Il y a plus; c'est que chacun se met sans cesse en contradiction avec lui-même, sans qu'on s'avise de le trouver mauvais. On a des principes pour la conversation et d'autres pour la pratique; leur opposition ne scandalise personne, et l'on est convenu qu'ils ne se ressembleroient // point entre eux; on n'exige pas même d'un auteur, surtout d'un moraliste, qu'il parle comme ses livres, ni qu'il agisse comme il parle; ses écrits, ses discours, sa conduite, sont trois choses toutes différentes, qu'il n'est point obligé de concilier. En un mot, tout est absurde, et rien ne choque, parce qu'on y est accoutumé; et il y a même à cette inconséquence une sorte de bon air dont bien des gens se font honneur. En effet, quoique tous prêchent avec zèle les maximes de leur profession, tous se piquent d'avoir le ton d'une autre. Le robin prend l'air cavalier; le financier fait le seigneur; l'évêque a le propos galant; l'homme de cour parle de philosophie; l'homme d'Etat de bel esprit: il n'y a pas jusqu'au simple artisan qui, ne pouvant prendre un autre ton que le sien, se met en noir les dimanches pour avoir l'air d'un homme de palais. Les militaires seuls; dédaignant tous les autres états, gardent sans façon le ton du leur, et sont insupportables de bonne foi. Ce n'est pas que M. de Muralt n'eût raison quand il donnait la préférence à leur société; mais ce qui était vrai de son temps ne l'est plus aujourd'hui. Le progrès de la littérature a changé en mieux le ton général; les militaires seuls n'en ont point voulu changer, et le leur, qui était le meilleur auparavant, est enfin devenu le pire.##Ainsi les hommes à qui l'on parle ne sont point ceux avec qui l'on converse; leurs sentiments ne partent point de leur coeur, leurs lumières ne sont point dans leur esprit, leurs discours ne représentent point leurs pensées; on n'aperçoit d'eux que leur figure, et l'on est dans une assemblée à peu près comme devant un tableau mouvant où le spectateur paisible est le seul être mû par lui-même.##Telle est l'idée que je me suis formée de la grande société sur celle que j'ai vue à Paris; cette idée est peut-être plus relative à ma situation particulière qu'au véritable état des choses, et se réformera sans doute sur de nouvelles lumières. D'ailleurs, je ne fréquente que les // sociétés où les amis de milord Edouard m'ont introduit, et je suis convaincu qu'il faut descendre dans d'autres états pour connaître les véritables moeurs d'un pays; car celles des riches sont presque partout les mêmes. Je tâcherai de m'éclaircir mieux dans la suite. En attendant, juge si j'ai raison d'appeler cette foule un désert, et de m'effrayer d'une solitude où je ne trouve qu'une vaine apparence de sentiments et de vérité, qui change à chaque instant et se détruit elle-même, où je n'aperçois que larves et fantômes qui frappent l'oeil un moment et disparaissent aussitôt qu'on les veut saisir. Jusques ici j'ai vu beaucoup de masques, quand verrai-je des visages d'hommes? "
726	Révéroni	Pauliska	Le soir, nouvelle épreuve plus pénible pour le coucher. Je vis l'instant où mon pauvre compagnon devenait le camarade de lit d'un vieux Cosaque près duquel le caporal Trench eût été un Adonis. Julie ne put résister à cette crainte ; son coeur se soulevait à la seule idée de respirer le même air que ce rustre. Je ne sais quelle heureuse étoile permit que se vieux Cosaque se trouva porter sous des dehors hideux une âme généreuse et loyale ; il s'amusa un instant de notre frayeur, puis fit observer à Trench la possibilité de nous donner un lit vide qui se trouvait dans la chambrée.
754	Révéroni	Pauliska	"''Aussitôt, me dit-il, que Talbot m'eut fait enlever de votre cabinet, pour l'exécution de la ""Aussitôt, me dit-il, que Talbot m'eut fait enlever de votre cabinet, pour l'exécution de la sentence que devait porter le redoutable conseil présidé par lui, je fus livré à deux ouvriers de l'atelier pour être garrotté et surveillé jusqu'à l'instant fatal. Le premier, nommé Gervasio, piémontais, était un tigre féroce ne respirant que sang et carnage ; on ne pouvait choisir une sentinelle plus terrible. L'autre, nommé Macarty, matelot irlandais, jeune encore, m'avait témoigné souvent de l'intérêt ; nous travaillions à la même presse, et c'est de là que datait notre intimité cachée. Sa haute stature, un air dur, un accent brutal lui donnaient l'apparence d'un agent convenable aux vues de Talbot ; mais il portait dans le fond une âme loyale, une sensibilité rare dans un homme de sa classe ; je m'en convainquis bientôt. --##Suit un court épisode illustrant le contraste de caractère: légitimation! ? "
768	Dorat	Malheurs	Où en serais-je ? il eût abusé sans doute du moindre avantage que je lui aurais donné... Lui ! Où en serais-je ? il eût abusé sans doute du moindre avantage que je lui aurais donné... Lui ! mon amie, croyez-vous qu'il en soit capable ? lui, dont la physionomie charmante annonce tant de candeur ? Quels dehors séduisants, et qu'ils sont bien faits pour inspirer la confiance ! ##
785	Dorat	Sacrifices	
812	Dorat	Sacrifices	l'âme la plus atroce. Beauté, prestige trompeur, je te déteste, depuis que tu as servi de masque à un coeur faux et méchant... et j'ai aimé cette femme ! (II:29) 
880	Louvet	Année	M. Person n'était plus cet instituteur sévère, possédé, comme tant d'autres confrères, de la rage d'enseigner ce qu'il ignorait ; c'était, comme tant d'autres aussi, un petit pédant couleur de rose, toujours bien régulièrement coiffé, minutieux dans sa parure, relâché dans sa morale, dévloppant avec les femmes une érudition profonde, affectant avec les hommes de n'effleurer que la superficie. Aussi doux et complaisant qu'il s'était d'abord montré intraitable et dur, il paraissait n'avoir d'autres désirs que de prévenir les miens ; et quand je parlais d'aller au couvent, je le trouvais aussi empressé que moi.
906	Louvet	Année	"''Je vous avoue, me dit le comte, que j'ai peine à croire ce que j'ai vu. Comment peut-on allier ""Je vous avoue, me dit le comte, que j'ai peine à croire ce que j'ai vu. Comment peut-on allier l'ignorance et le savoir, la modestie et la beauté, l'ingénuité de l'enfance et la raison de l'âge mûr ; enfin, permettez-moi de le dire, une innocence aussi extrême avec un physique aussi précoce ?Je croyais cette réunion impossible, mon ami ; votre soeur est le chef-d'oeuvre de la nature et de l'éducation. -- Rosambert, ce chef-d'oeuvre est le fruit de quatorze ans de soins et de bonheur ; il fut produit par le concours le plus rare des circonstances les plus heureuses. [...]."""
